Alexandre Grenier
Andreas Johnson
Andrei Vasilevski
Bo Horvat
Brock McGinn
Connor McDavid
Dylan Demelo
Dylan McIlrath
Dylan Sikura
Greg McKegg
Ian McCoshen
Jake DeBrusk
Jake McCabe
Joseph Blandisi
Mark McNeill
Max Mccormick
Mattias Janmark-Nylen
Nicolas Beaudin
Paul Ladue
Nikita Zadorov
Roland McKeown
Rourke Chartier
