Kris Letang
Oliver Kylington
David Farrance
Kristian Vesalainen
Markus Phillips
Jake Oettinger
Lucas Elvenes
Jesse Ylonen
Bode Wilde
philippe myers
ian mitchell
mathias emilio pettersen
Sam Colangelo
Lukas Cormier
Vasiliy Ponomarev
Patrik Laine
Anders Lee
Dylan Strome
Viktor Arvidsson
Mikhail Sergachev
Dmitry Orlov
Vladimir Tarasenko
Igor Shesterkin
Vince Dunn
Sam Reinhart
Brady Tkachuk
Ryan Johansen
Kevin Shattenkirk
Duncan Keith
Justin Faulk
jack hughes







Trevor Zegras
Vitali Kravtsov
Vasily Podkolzin
Lucas Raymond
Theodor Niederbach
Martin Kaut
Fabian Zetterlund
Chad Krys
Josh Mahura
ryan johnson 2
mattias norlinder
Zion Nybeck
Jack Quinn
Brayden Tracey
Nicolas Hague
bobby brink
samuel fagemo
Brendan Brisson
Cody Glass
Brendan Gallagher
Ryan McDonagh
Cam Atkinson
Tom Wilson
Phillip Danault
Pierre-Luc Dubois
Alex Tuch
Yanni Gourde
Pavel Zacha
Rasmus Dahlin
Jack Eichel
Teuvo Teravainen
Roman Josi
Carey Price
Ryan Murray
Rasmus Andersson
Josh Norris
Jesper Bratt
Jesse Puljujarvi
Nolan Patrick



Travis Dermott
Cal Foote
Pierre-Olivier Joseph
Morgan Frost
Liam Foudy
Alexander Romanov
Filip Johansson
moritz seider
Philip Broberg
victor soderstrom
scott perunovich
antti tuomisto
alex vlasic
vladislav firstov
jackson lacombe
Jamie Drysdale
Shakir Mukhamadullin
Dylan Holloway
William Wallinder
Yan Kuznetsov
josh anderson
Christian Dvorak
devon toews
Chandler Stephenson
tony Deangelo
Bo Horvat
Jake Muzzin
Jamie Benn
robin lehner
Erik Cernak


Max Jones
Brett Howden
Janne Kuokkanen
Boris Katchouk
Tyson Jost
Filip Chytil
Kale Clague
Victor Mete
Jay O'Brien
Jared Mcisaac
Brandon Carlo
Aleksi Heponiemi
Matt Boldy
thomas harley
tyler madden
nicholas robertson
dmitri samorukov
oskari laaksonen
samuel walker
cale fleury
jayden struble
nathan legare
Oliver Wahlstrom
bowen byram
Alexander Holtz
Rodion Amirov
Ridly Greig
Jake Bean
Brett Berard
dylan samberg
Connor Zary
Patrick Kane
